State,% Sun,Clear Days
Alabama,58,99
Alaska,41,61
Arizona,85,193
Arkansas,61,123
California,68,146
Colorado,71,136
Connecticut,56,82
Florida,66,101
Georgia,66,112
Hawaii,71,90
Idaho,64,120
Illinois,56,95
Indiana,55,88
Iowa,59,105
Kansas,65,128
Kentucky,56,93
Louisiana,57,101
Maine,57,101
Maryland,57,105
Massachusetts,58,98
Michigan,51,71
Minnesota,58,95
Mississippi,61,111
Missouri,60,115
Montana,59,82
Nebraska,61,117
Nevada,79,158
New Hampshire,54,90
New Jersey,56,94
New Mexico,76,167
New York,46,63
North Carolina,60,109
North Dakota,59,93
Ohio,50,72
Oklahoma,68,139
Oregon,48,68
Pennsylvania,58,87
Rhode Island,58,98
South Carolina,64,115
South Dakota,63,104
Tennessee,56,102
Texas,61,135
Utah,66,125
Vermont,49,58
Virginia,63,100
Washington,47,58
West Virginia,40,60
Wisconsin,54,89
Wyoming,68,114