State,% Sun Winter,Clear Days
Alabama,46,22
Alaska,34,19
Arizona,80,42
Arkansas,52,28
California,72,36
Colorado,62,27
Connecticut,52,22
Florida,64,29
Georgia,58,25
Hawaii,65,25
Idaho,43,14
Illinois,46,21
Indiana,42,17
Iowa,50,23
Kansas,59,29
Kentucky,43,18
Louisiana,48,23
Maine,56,28
Maryland,52,24
Massachusetts,54,26
Michigan,36,10
Minnesota,51,22
Mississippi,51,25
Missouri,50,24
Montana,48,13
Nebraska,56,26
Nevada,66,23
New Hampshire,51,25
New Jersey,50,24
New Mexico,72,38
New York,32,8
North Carolina,53,28
North Dakota,51,20
Ohio,36,12
Oklahoma,59,32
Oregon,30,8
Pennsylvania,49,20
Rhode Island,55,26
South Carolina,58,28
South Dakota,55,21
Tennessee,43,20
Texas,53,31
Utah,47,17
Vermont,41,12
Virginia,55,25
Washington,30,8
Wisconsin,46,20
Wyoming,65,25